runtype,series_X,series_Y,rank,entry_scale,exit_scale,train_start,train_end,test_start,test_end,par_rownumber,returns,volatility,sharpe,sortino
test,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2006-12-31 00:00:00,2007-07-01 00:00:00,2007-07-01 00:00:00,2007-12-30 00:00:00,47,-1.05144006759,152.997839176,-0.0664269843054,-0.153316207121
train,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2007-07-01 00:00:00,2007-12-30 00:00:00,2007-12-30 00:00:00,2008-06-29 00:00:00,48,0.908137202263,51.5015952919,-0.00206872193357,-0.00273205440818
test,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2007-07-01 00:00:00,2007-12-30 00:00:00,2007-12-30 00:00:00,2008-06-29 00:00:00,48,0.530051469803,94.1552827028,0.0439632631512,0.0579332571796
train,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2007-12-30 00:00:00,2008-06-29 00:00:00,2008-06-29 00:00:00,2008-12-28 00:00:00,49,3.51820516586,194.981234173,0.14374366155,0.158707687526
test,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2007-12-30 00:00:00,2008-06-29 00:00:00,2008-06-29 00:00:00,2008-12-28 00:00:00,49,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2008-06-29 00:00:00,2008-12-28 00:00:00,2008-12-28 00:00:00,2009-06-28 00:00:00,50,4.42177009583,175.993515817,0.183176299153,0.209339793632
test,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2008-06-29 00:00:00,2008-12-28 00:00:00,2008-12-28 00:00:00,2009-06-28 00:00:00,50,2.43430113792,132.219095422,-0.0806429748256,-0.968001993984
train,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2008-12-28 00:00:00,2009-06-28 00:00:00,2009-06-28 00:00:00,2009-12-27 00:00:00,51,2.33545899391,118.387668777,0.129091489319,0.144343403143
test,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2008-12-28 00:00:00,2009-06-28 00:00:00,2009-06-28 00:00:00,2009-12-27 00:00:00,51,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2009-06-28 00:00:00,2009-12-27 00:00:00,2009-12-27 00:00:00,2010-06-27 00:00:00,52,3.33734846115,133.687564573,0.149360432327,0.170282361429
test,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2009-06-28 00:00:00,2009-12-27 00:00:00,2009-12-27 00:00:00,2010-06-27 00:00:00,52,2.64514780045,94.7668811486,0.144830409377,0.148556946176
train,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2009-12-27 00:00:00,2010-06-27 00:00:00,2010-06-27 00:00:00,2010-12-26 00:00:00,53,2.91554450989,152.839476804,0.127532299299,0.136176048528
test,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2009-12-27 00:00:00,2010-06-27 00:00:00,2010-06-27 00:00:00,2010-12-26 00:00:00,53,-2.9428819418,112.110865053,0.0711700641896,0.0796141694533
train,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2010-06-27 00:00:00,2010-12-26 00:00:00,2010-12-26 00:00:00,2011-06-26 00:00:00,54,6.04417657852,202.503121014,0.173598262168,0.187419855571
test,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2010-06-27 00:00:00,2010-12-26 00:00:00,2010-12-26 00:00:00,2011-06-26 00:00:00,54,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2010-12-26 00:00:00,2011-06-26 00:00:00,2011-06-26 00:00:00,2011-12-25 00:00:00,55,2.58153510094,118.826240844,-0.0747784729417,-0.701744472925
test,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2010-12-26 00:00:00,2011-06-26 00:00:00,2011-06-26 00:00:00,2011-12-25 00:00:00,55,-1.15060071647,24.4028744885,-0.064909625643,-0.104951572338
train,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2011-06-26 00:00:00,2011-12-25 00:00:00,2011-12-25 00:00:00,2012-06-24 00:00:00,56,4.72642803192,157.801101513,0.154692843222,0.164511829855
