,runtype,series_X,series_Y,rank,entry_scale,exit_scale,train_start,train_end,test_start,test_end,returns,volatility,sharpe,sortino
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,1.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-425.2167969,156.7534061,-0.109565629,-0.315510509
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,1.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,48.89223862,18.85327648,0.079389341,0.082228454
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,1.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,109.594986,46.21978591,-0.077478727,-0.574679151
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,2,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,373.0853882,143.2081892,-0.022557167,-0.048256765
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,2,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-125.0231476,58.2026291,0.144687514,0.147478106
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,2,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,33.5823555,9.277775728,0.089672035,0.089656405
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,2,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-425.2167969,156.7534061,-0.109565629,-0.315510509
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,2,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,17.05446053,7.815964954,0.09070032,0.093158273
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,2,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,103.7239151,43.69768088,-0.077671587,-0.576011861
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,2.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,291.9742737,108.2076749,-0.02367687,-0.05063502
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,2.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-125.0231476,58.2026291,0.144687514,0.147478106
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,2.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,33.5823555,9.277775728,0.089672035,0.089656405
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,2.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-397.4165649,147.9574803,-0.029355441,-0.055675385
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,2.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,7.705899239,6.03634396,0.086695172,0.089081845
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,2.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,73.78196716,32.88737569,-0.079012456,-0.587792286
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,0,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,206.6947327,79.432858,0.050917319,0.053733414
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,0,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-125.0231476,58.2026291,0.144687514,0.147478106
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,0,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,0,0,nan,nan
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,0,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-403.7374573,147.921016,-0.026523256,-0.066650499
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,0,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,62.37668228,29.69924752,0.048498234,0.052319871
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,0,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,135.4089203,60.71774976,-0.076181022,-0.561025201
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,0.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,183.3365173,69.47708076,0.050998703,0.053819103
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,0.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-125.0231476,58.2026291,0.144687514,0.147478106
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,0.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,0,0,nan,nan
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,0.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-403.7374573,147.921016,-0.026523256,-0.066650499
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,0.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,62.37668228,29.69924752,0.048498234,0.052319871
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,0.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,111.764183,50.93965277,-0.077251613,-0.571569791
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,1,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,150.0016632,61.02465544,0.051117429,0.053944121
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,1,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-125.0231476,58.2026291,0.144687514,0.147478106
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,1,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,0,0,nan,nan
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,1,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-403.7374573,147.921016,-0.026523256,-0.066650499
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,1,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,34.84051895,17.05556655,0.043486351,0.046936323
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,3,1,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,95.23530579,43.86920813,-0.078027359,-0.579418751
