short_win,long_win,start_evaluation,end_evaluation,returns,volatility,sharpe,sortino,maxDD_level,DD_level_start,DD_level_end,DD_level_length,maxDD_duration,DD_duration_start,DD_duration_end,DD_duration_length,ETL_5,ETL_1
5,30,2010-10-08,2010-11-07,0.8586246967315674,45.253447235528,0.23727590198202939,0.276223495047595,75.80000305175781,2010-10-11 00:00:00,2010-10-12 00:00:00,"-1 day, 0:00:00",71.40000915527344,2010-10-14 00:00:00,2010-10-22 00:00:00,"-8 days, 0:00:00",-75.80000305175781,
5,30,2010-09-08,2010-10-08,1.6220009326934814,43.31758884694865,0.30032817798932565,0.3237490527720571,87.5,2010-09-27 00:00:00,2010-10-01 00:00:00,"-4 days, 0:00:00",52.69999694824219,2010-09-15 00:00:00,2010-09-24 00:00:00,"-9 days, 0:00:00",-57.09999084472656,
5,30,2010-08-09,2010-09-08,-0.7327306270599365,83.1887585263723,-0.18440147983740382,-0.29381470972773577,331.3999938964844,2010-08-09 00:00:00,2010-09-02 00:00:00,"-24 days, 0:00:00",331.3999938964844,2010-08-09 00:00:00,2010-09-08 00:00:00,"-30 days, 0:00:00",-88.0,
5,30,2010-07-10,2010-08-09,-0.12290287017822266,53.17378891740691,0.07720470144163784,0.11287649942228502,203.70001220703125,2010-07-13 00:00:00,2010-07-23 00:00:00,"-10 days, 0:00:00",203.70001220703125,2010-07-13 00:00:00,2010-08-09 00:00:00,"-27 days, 0:00:00",-80.29999542236328,
5,30,2010-06-10,2010-07-10,-0.5386550426483154,69.75940607215342,-0.16443620796430888,-0.2709896590113332,260.3999938964844,2010-06-10 00:00:00,2010-06-25 00:00:00,"-15 days, 0:00:00",260.3999938964844,2010-06-10 00:00:00,2010-07-09 00:00:00,"-29 days, 0:00:00",-96.30000305175781,
5,30,2010-05-11,2010-06-10,0.3652327060699463,101.63741937086337,0.15786981508732217,0.18663521276654013,220.0,2010-05-25 00:00:00,2010-06-03 00:00:00,"-9 days, 0:00:00",220.0,2010-05-25 00:00:00,2010-06-10 00:00:00,"-16 days, 0:00:00",-102.60003662109375,
5,30,2010-04-11,2010-05-11,0.4801868200302124,89.8937705355576,0.1960684226079408,0.24369184790590903,169.89999389648438,2010-04-15 00:00:00,2010-04-28 00:00:00,"-13 days, 0:00:00",169.89999389648438,2010-04-15 00:00:00,2010-05-05 00:00:00,"-20 days, 0:00:00",-114.79998779296875,
5,30,2010-03-12,2010-04-11,1.0704011917114258,52.95726404636655,0.30778257073437104,0.34394541245449195,42.59999084472656,2010-03-19 00:00:00,2010-03-22 00:00:00,"-3 days, 0:00:00",32.100006103515625,2010-03-12 00:00:00,2010-03-16 00:00:00,"-4 days, 0:00:00",,
5,30,2010-02-10,2010-03-12,-0.5089740753173828,99.34220624057828,-0.1412750981429127,-0.22002647558162275,351.29998779296875,2010-02-16 00:00:00,2010-03-02 00:00:00,"-14 days, 0:00:00",351.29998779296875,2010-02-16 00:00:00,2010-03-12 00:00:00,"-24 days, 0:00:00",,
5,50,2011-12-02,2012-01-01,-0.2289426326751709,56.5173487141206,0.09340502050299215,0.11147972490820211,202.70001220703125,2011-12-05 00:00:00,2011-12-16 00:00:00,"-11 days, 0:00:00",202.70001220703125,2011-12-05 00:00:00,2011-12-30 00:00:00,"-25 days, 0:00:00",,
5,50,2011-11-02,2011-12-02,-0.2520294189453125,70.25736533510792,-0.08493986706031116,-0.12857214612728346,288.70001220703125,2011-11-25 00:00:00,2011-12-02 00:00:00,"-7 days, 0:00:00",172.5999755859375,2011-11-09 00:00:00,2011-11-24 00:00:00,"-15 days, 0:00:00",-103.39996337890625,
5,50,2011-10-03,2011-11-02,-0.2061326503753662,131.3236330907562,-0.2613460814585609,-0.41283419460005044,473.0001220703125,2011-10-04 00:00:00,2011-10-21 00:00:00,"-17 days, 0:00:00",473.0001220703125,2011-10-04 00:00:00,2011-11-02 00:00:00,"-29 days, 0:00:00",-139.5999755859375,
5,50,2011-09-03,2011-10-03,0.14572477340698242,98.85292119953951,0.19085326345680112,0.23761772360200473,170.10009765625,2011-09-26 00:00:00,2011-09-28 00:00:00,"-2 days, 0:00:00",139.5,2011-09-14 00:00:00,2011-09-21 00:00:00,"-7 days, 0:00:00",-135.9000244140625,
5,50,2011-08-04,2011-09-03,0.019946813583374023,93.124544582066,0.04184019668278751,0.05258348579669906,325.9998779296875,2011-08-08 00:00:00,2011-09-01 00:00:00,"-24 days, 0:00:00",325.9998779296875,2011-08-08 00:00:00,2011-09-02 00:00:00,"-25 days, 0:00:00",-110.7000732421875,
5,50,2011-07-05,2011-08-04,0.3244743347167969,85.54301630167562,0.27150362527729927,0.3174335992239815,134.7000732421875,2011-07-19 00:00:00,2011-07-22 00:00:00,"-3 days, 0:00:00",134.7000732421875,2011-07-19 00:00:00,2011-07-27 00:00:00,"-8 days, 0:00:00",-79.0,
5,50,2011-06-05,2011-07-05,-0.008276939392089844,52.144310855992686,0.006309504429283017,0.00888574643844623,157.9000244140625,2011-06-20 00:00:00,2011-07-04 00:00:00,"-14 days, 0:00:00",157.9000244140625,2011-06-20 00:00:00,2011-07-05 00:00:00,"-15 days, 0:00:00",-80.0,
5,50,2011-05-06,2011-06-05,0.23524785041809082,54.69106296270035,0.17601535798673035,0.21049698757319926,127.29998779296875,2011-05-25 00:00:00,2011-05-31 00:00:00,"-6 days, 0:00:00",127.29998779296875,2011-05-25 00:00:00,2011-06-03 00:00:00,"-9 days, 0:00:00",-73.5,
5,50,2011-04-06,2011-05-06,-0.1559901237487793,58.833555182804915,-0.12421864009404593,-0.19567342739084786,210.199951171875,2011-04-11 00:00:00,2011-05-03 00:00:00,"-22 days, 0:00:00",210.199951171875,2011-04-11 00:00:00,2011-05-06 00:00:00,"-25 days, 0:00:00",-74.699951171875,
5,50,2011-03-07,2011-04-06,0.020661592483520508,83.28012590718426,0.042264646865032604,0.05735554204724701,302.79998779296875,2011-03-15 00:00:00,2011-03-30 00:00:00,"-15 days, 0:00:00",302.79998779296875,2011-03-15 00:00:00,2011-04-06 00:00:00,"-22 days, 0:00:00",-77.39996337890625,
5,50,2011-02-05,2011-03-07,-0.07206058502197266,46.70092466127288,-0.10302329212166911,-0.1589589691685352,130.20001220703125,2011-02-18 00:00:00,2011-03-07 00:00:00,"-17 days, 0:00:00",130.20001220703125,2011-02-18 00:00:00,2011-03-07 00:00:00,"-17 days, 0:00:00",-62.70001220703125,
5,50,2011-01-06,2011-02-05,0.17443037033081055,42.25397558325834,0.21659536465918264,0.26331109550193604,94.20001220703125,2011-01-19 00:00:00,2011-01-31 00:00:00,"-12 days, 0:00:00",94.20001220703125,2011-01-19 00:00:00,2011-02-03 00:00:00,"-15 days, 0:00:00",-52.20001220703125,
5,50,2010-12-07,2011-01-06,0.02167356014251709,24.725282664154516,0.05295727665905409,0.07768808041282235,67.300048828125,2010-12-23 00:00:00,2011-01-05 00:00:00,"-13 days, 0:00:00",67.300048828125,2010-12-23 00:00:00,2011-01-06 00:00:00,"-14 days, 0:00:00",-39.800048828125,
5,50,2010-11-07,2010-12-07,-0.2451033592224121,76.36252664909172,-0.27037412476853345,-0.5978541914001988,270.70001220703125,2010-11-08 00:00:00,2010-12-02 00:00:00,"-24 days, 0:00:00",270.70001220703125,2010-11-08 00:00:00,2010-12-07 00:00:00,"-29 days, 0:00:00",-85.0,
